course_url,course_title,course_desciption
https://lingkaran.co/programs/detail/618/copywriting-online-agustus,Copywriting : Menyampaikan Pesan yang Efektif untuk Audiens - Agustus,"Keahlian menulis yang harus dimiliki copywriter selalu berubah berdasarkan kebiasaan pengguna search engine, tetapi ada satu keterampilan yang tidak akan pernah berubah: seorang copywriter harus membuat sesuatu yang baru. Copywriting digunakan untuk setiap upaya pemasaran. Dengan tulisan, kalian dapat menceritakan kisah sampai menjual produk atau brand . Salah satu tantangan terbesar yang penulis miliki saat ini adalah menciptakan sesuatu yang baru. Tugas utama seorang  copywriter adalah menulis berita utama dengan tujuan untuk “menjual”, dan menulis ulang “caption” yang ada untuk mengoptimalkannya bisnis dengan platform yang berbeda. Melalui kelas ini, kita akan mempelajari basic dan praktik penulisan copywriting yang tepat, yang juga dapat menjual untuk mengembangkan bisnis melalui platform yang berbeda-beda. "
https://lingkaran.co/programs/detail/626/marketing-campaign-in-social-media-agustus,Membangun Marketing Campaign di Social Media,"Jika terdapat dua perusahaan yang mulai di waktu yang sama, melayani target pasar yang sama, memberikan produk atau jasa yang sama namun memiliki kecepatan tumbuh yang berbeda, strategi marketing adalah hal yang membedakan kecepatan pertumbuhan dua perusahaan tersebut. Semakin efektif strategi marketing yang dimiliki, semakin cepat pertumbuhan suatu perusahaan tersebut. Sebuah marketing campaign tidak datang secara tiba-tiba. Campaign-campaign yang efektif telah melalui proses riset yang detail, dipikirkan secara matang serta berfokus kepada detail dan eksekusi ketimbang sekedar bertumpu pada sebuah ide besar. Melalui Kelas ini,  kita akan membuat sebuah marketing campaign di social media yang efektif agar informasi yang ingin disampaikan kepada target market tersampaikan."
https://lingkaran.co/programs/detail/640/meningkatkan-efektivitas-bisnis-dengan-supply-chain-management,Meningkatkan Efektivitas Bisnis dengan Supply Chain Management,"Supply Chain Management (SCM) berperan penting dalam pengelolaan proses barang dari sumber produksi hingga sampai ke konsumen. SCM dalam suatu perusahaan/bisnis dapat membantu perusahaan untuk lebih mengetahui produk seperti apa yang diinginkan konsumen serta kapan waktu yang tepat untuk mengirimkan produk tersebut, sehingga SCM ini dapat menentukan perusahaan tersebut dapat lebih unggul atau justru tertinggal dalam persaingan bisnis.
Untuk itu, agar Supply Chain Management dapat berjalan efektif maka, diperlukan pemetaan supply chain dalam bisnis, komunikasi visi bisnis kepada partner kerja, serta berkolaborasi dengan para pemimpin bisnis lainnya.
Didalam kelas ini, kita akan mempelajari konsep dan pentingnya Supply Chain Management dalam mengelola bisnis dan menerapkan beberapa metode untuk meningkatkan efektivitas Supply Chain Management. Mentor juga akan membagikan pengalamannya sebagai ahli profesi dalam Supply Chain Management."
https://lingkaran.co/programs/detail/644/mengembangkan-strategi-growth-bisnis,Mengembangkan Strategi Growth Bisnis,"Saat ini perkembangan media dan internet sangat berkembang pesat. Memberikan dampak pada perkembangan bisnis menjadi lebih cepat, praktis, dan efisien. Dalam memulai bisnis pun harus mempertimbangkan bagaimana agar bisa tumbuh cepat di era persaingan industri yang ketat.
Fase-fase penting dalam mengembangkan bisnis startup adalah dari permulaan sampai tahap bagaimana merancang inisiatif anggaran untuk bisnis sampai strategi memantau kenaikan bisnis.
Dalam kelas ini, kita akan belajar dari mentor yang telah berpengalaman dalam meningkatkan bisnis perusahaan dari perencanaan hingga sampai saat dimana harus mulai menggunakan budget plan untuk setiap inisiatif."
https://lingkaran.co/programs/detail/649/mengembangkan-komunitas-sebagai-wadah-kolaborasi,[Bundling] Mengembangkan Komunitas sebagai Wadah Kolaborasi,"Komunitas adalah tempat yang tepat untuk berbagi minat, pemikiran,  pengalaman, atau kisah anggotanya satu sama lain. Di dalam komunitas, ada  istilah ""Community engagement"" yang pada dasarnya adalah sebuah proses bekerja secara kolaboratif secara berkala dengan anggota komunitas tersebut. 
Tidak hanya bekerja sama antar individu di dalam anggotanya, komunitas juga harus berkolaborasi dengan komunitas lainnya karena sebuah kolaborasi dapat menjadi alternatif yang kuat untuk melakukan sebuah perubahan.
Melalui rangkaian kelas ini, kita akan mempelajari bagaimana cara membangun komunitas, cara melibatkan para anggotanya, dan cara berkolaborasi dengan komunitas lain tanpa adanya kepentingan yang tumpang tindih satu sama lain.
Untuk detail dari program ini kalian bisa mengunjungi tautan berikut :
1. Membangun Community Engagement yang Efektif
2. Menjalin Kolaborasi antar Komunitas untuk Mencapai Keuntungan Bersama"
https://lingkaran.co/programs/detail/650/membangun-community-engagement-yang-efektif,Membangun Community Engagement yang Efektif,"Community engagement adalah sebuah proses bekerja secara kolaboratif antar anggotanya, hal tersebut berarti melibatkan anggota atau orang sekitarnya dalam membuat keputusan untuk mencapai tujuan komunitas tersebut.Melalui kelas ini, kita akan mempelajari apa itu community engagement, bagaimana cara menghargai konteks dan ethical engagement (Trust, transparency and accountability), mengetahui bagaimana cara membuat interaksi yang menghasilkan impact, juga membangun dan mengelola proyek community engagement."
https://lingkaran.co/programs/detail/637/membuat-digital-advertising-strategy-yang-efektif,Membuat Digital Advertising Strategy yang Efektif,"Advertising strategy memainkan peran penting dalam sebuah promosi produk, karena dengan membuat ads strategi kita membuat rencana untuk menjangkau atau membujuk calon konsumen untuk membeli produk / menggunakan layanan yang disediakan.
Apalagi di era digital ads seperti ini, sebagian dari kalian mungkin sudah mengenal dan mencoba berbagai jenis dari mulai Instagram Ads, Facebook Ads, maupun Google ads. Dan jika hasilnya masih kurang maksimal ada kemungkinan strategi yang kalian gunakan harus di ganti loh!
Melalui kelas ini, kita akan membahas mengenai cara tepat mengidentifikasi audiens yang dimiliki, cara membuat strategi ads dan menentukan media yang tepat serta penjadwalannya hingga mengukur efektivitasnya."
https://lingkaran.co/programs/detail/651/menjalin-kolaborasi-antar-komunitas-untuk-mencapai-keuntungan-bersama,Menjalin Kolaborasi antar Komunitas untuk Mencapai Keuntungan Bersama,"Untuk melakukan perubahan sering kali sebuah komunitas tidak dapat melakukannya sendiri, banyak aspek atau kolega lain yang harus membantu sehingga menciptakan perubahan tersebut. Oleh karena itu dibutuhkan kolaborasi dengan komunitas/individu lain untuk mencapai perubahan seosial tersebut.
Melalui kelas ini, kita akan mempelajari apa itu collaborative leadership, macam-macam kolaborasi yang dapat dilakukan, cara bekerja dengan komunitas lain, dan juga bagaimana cara berkolaborasi dengan berbagi resource antar komunitas/individu tanpa overlapping satu dengan yang lainnya."
https://lingkaran.co/programs/detail/622/strategic-partnership-to-maximize-your-business-agustus,Strategi Partnership untuk Memaksimalkan Bisnismu - Agustus,"Memperluas koneksi dan jejaring menjadi hal yang sangat penting dalam membangun bisnis. Apalagi di era industri 4.0 ini banyak bisnis yang berlomba-lomba untuk mengakusisi calon konsumen, dan hal tersebut tidak dapat hanya bergantung pada sumber daya yang di miliki sendiri. Salah satu cara untuk menjalankan bisnis adalah dengan melakukan kerjasama, dan untuk mencari “partner” dapat dilakukan dengan berjejaring, akan ada banyak keuntungan dan kesempatan yang didapat, bahkan untuk hal yang tidak kita perkirakan sebelumnya. Kadang melakukan networking dirasa seperti hal yang tidak membutuhkan strategi, padahal ada banyak cara yang bisa kita lakukan agar kegiatan networking menjadi maksimal dan memberikan benefit yang sesuai dengan pihak-pihak terkait.Di kelas ini, kita akan mempelajari bagaimana strategi dalam melakukan kerjasama menjalin hubungan profesional dengan kolega bisnis, dan bagaimana kolaborasi antar pihak dapat terjalin dengan maksimal."
https://lingkaran.co/programs/detail/636/membuat-product-market-fit-dan-business-model-yang-tepat-sasaran,Membuat Product Market Fit dan Business Model yang Tepat Sasaran,"Product-market fit merupakan konsep paling penting dalam membangun sebuah strategi bisnis. Dengan ini sebuah bisnis akan bertahan dan menarik perhatian calon konsumen dengan memberikan penawaran yang sesuai dengan kebutuhan mereka. Apalagi di masa pandemi seperti ini, konsumen cenderung memilih membeli produk yang urgensinya paling penting.
Melalui kelas ini, kita akan membahas bagaimana cara membuat produk market fit,  membuat bisnis model yang tepat bagi bisnis kalian, dan mempelajari bagaimana cara bisa membuat bisnis yang berbeda dari kompetitor. "
